"","address","availability","groups","languages","billing","zipcode"
"822","Praxis B. Staehelin Rosswiesstrasse 29 8608 Bubikon Switzerland","No date currently available","Adults Young adults Couples Families Teenagers Children Teams","German Swiss German French English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8608
"823","Centre de Thérapies Le Botzet Rue du Botzet 9 1700 Fribourg Switzerland","At least four weeks","Adults","French","Covered by basic insurance",1700
"824","Cabinet de psychothérapie Rue du Bourg 11 1860 Aigle Switzerland","Two to four weeks","Older adults Adults Young adults Couples Families Senior management","French","Partially covered by supplementary insurance Covered by basic insurance",1860
"825","Praxisgemeinschaft Stolzestrasse Stolzestrasse 3 8006 Zürich Switzerland","No date currently available","Older adults Adults Teams","German","Partially covered by supplementary insurance To be paid by yourself",8006
"826","Ruessenstrasse 12 6340 Baar Switzerland","At least four weeks","Teams Groups","German English","To be paid by yourself",6340
"827","Miroslava Stankovic Minuz Rue des Chavannes 1C 1304 Cossonay-Ville Switzerland","At least four weeks","Older adults Adults Young adults Teenagers Children Teams Senior management","French","Covered by basic insurance",1304
"828","Praxis Psychotherapie Effingerstrasse 6a 3011 Bern Switzerland","No date currently available","Adults Young adults Families Teenagers Children","German Swiss German French Italian English","Covered by basic insurance",3011
"829","Psychotherapie im Lenzhof 3 Bahnhofstrasse 5600 Lenzhof Switzerland","Less than two weeks","Adults Young adults Couples Families",NA,"Covered by basic insurance To be paid by yourself",5600
"830","psy punkt thun Bälliz 12 3600 Thun Switzerland","At least four weeks","Older adults Adults Young adults","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance",3600
"831","Corinne Stauffer Ansermet Rue de Bourg 8 Lausanne 1003 Switzerland","At least four weeks","Adults Young adults Couples Families Teenagers Children","French","Partially covered by supplementary insurance Covered by basic insurance",1003
"832","cabinet de psychothérapie rue du Conseil Général 10 1205 Genève Switzerland SUPERVISIONS uniquement 24, rue du Bourg 1323 Romainmôtier Switzerland","Two to four weeks","Adults Families Couples Young adults Senior management Teenagers Children","French English","Covered by basic insurance To be paid by yourself",1205
"833","Cabinet de Psychologie Appliquée 108 rue des Eaux-Vives CH-1207 Genève Switzerland","Two to four weeks","Older adults Adults Young adults Couples Senior management","German French","Covered by basic insurance To be paid by yourself",1207
"834","CS Psychothérapie Passage des Ponts 8 2800 Delémont Switzerland","At least four weeks","Adults Young adults Families Teenagers Children","French","Covered by basic insurance",2800
"835","Psychotherapeutische Praxis Schauenburgerstrasse 22 22 4052 Basel Switzerland","At least four weeks","Adults Young adults Couples Families Teenagers Children","German French Italian English","Covered by basic insurance To be paid by yourself",4052
"836","Neue Realitäten AG, KJPR (Praxis für Kinder-/Jugendpsychologie und Rechtspsychologie) Haldenstrasse 11 6006 Luzern Switzerland Neue Realitäten AG, KJPR (Praxis für Kinder-/Jugendpsychologie und Rechtspsychologie) Schulhausstrasse 5 in ""Praxix im 5i"" 4900 Langenthal Switzerland","At least four weeks","Couples Families Teenagers Adults Children Young adults Senior management","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",6006
"837","Hornbachstrasse 50 8008 Zürich Switzerland","At least four weeks","Adults Young adults Couples Families Senior management","French Italian Portuguese","Covered by basic insurance To be paid by yourself",8008
"838","Praxis für Psychotherapie Malerweg 26 3012 Bern Switzerland","No date currently available","Adults Young adults Children","German English Swedish","Covered by basic insurance",3012
"839","Baumgartenweg 31 4204 Himmelried Switzerland Falkensteinerstrasse 60 4053 Basel Switzerland","Two to four weeks","Adults","German Swiss German","To be paid by yourself",4204
"840","Cerfasy Ruelle Vaucher 13 2000 Neuchâtel Switzerland","No date currently available","Families Teenagers Adults","German French English","Covered by basic insurance",2000
"841","Rue du Botzet 18 1700 Fribourg Switzerland","No date currently available","Adults Families","German French","Covered by basic insurance",1700
"842","Praxis für Psychotherapie und Beratung Haus zum Adler Marktgasse 34 4600 Olten Switzerland","No date currently available","Older adults Adults Couples","German","Covered by basic insurance To be paid by yourself",4600
"843","Praxis für Psychotherapie Baarerstr. 43 6300 Zug Switzerland","At least four weeks","Older adults Adults Young adults","German Swiss German","Covered by basic insurance",6300
"844","cabinet de psychothérapie Violaine Straehl Chemin du Murgier 4 2350 Saignelegier Switzerland","At least four weeks","Adults Young adults Teenagers Children Teams Senior management","French English","Covered by basic insurance",2350
"845","Mühlenplatz 10 6004 Luzern Switzerland","No date currently available","Older adults Adults Young adults Teenagers","German","Partially covered by supplementary insurance",6004
"846","Praxisgemeinschaft 4p Bergstrasse 122 8032 Zürich Switzerland","No date currently available","Adults Young adults","German Swiss German","Covered by basic insurance To be paid by yourself",8032
"847","solopsy Luzernstrasse 3 5 Gehminuten vom Bahnhof Solothurn 4528 Zuchwil Switzerland","Two to four weeks","Older adults Adults Young adults Teams Senior management","German","To be paid by yourself",4528
"848","Eichbühlstrasse 19 8004 Zürich Switzerland","Two to four weeks","Older adults Adults Young adults","German Swiss German","Covered by basic insurance To be paid by yourself",8004
"849","Universitätsklinik für Psychiatrie und Psychotherapie Murtenstrasse 21 3008 Bern Switzerland","At least four weeks","Older adults Adults Young adults Couples Teams Groups Senior management","German Swiss German English","Covered by basic insurance",3008
"850","Lic. phil. Danièle Stucki Badenerstrasse 21 8004 Zürich Switzerland","No date currently available","Older adults Adults Young adults","German English","Covered by basic insurance",8004
"851","Praxisgemeinschaft Basler Nobs Stüdeli Zuber Schmiedengasse 1 4500 Solothurn Switzerland","At least four weeks","Teenagers Children Young adults Families","German","Covered by basic insurance",4500
"852","Beratungsgruppe für Verbandsmanagement B'VM Altenbergstrasse 29 Postfach 686 3000 Bern 8 Switzerland","Two to four weeks","Teams Groups Senior management","German Swiss German French English","To be paid by yourself",3000
"853","Psychotherapie Marianne Styger Promenadenstrasse 21 A 8200 Schaffhausen Switzerland","At least four weeks","Young adults Families Children","German Swiss German","Covered by basic insurance",8200
"854","Psychotherapie 3 Lacs GmbH Beualieu 11 3280 Murten Switzerland","At least four weeks","Adults Young adults Families Children","German Swiss German French Italian Hungarian Urdu","Covered by basic insurance To be paid by yourself",3280
"855","Cabinet de psychologie et de psychothérapie Place des Alpes 26 1630 Bulle Switzerland","No date currently available","Older adults Teenagers Families Adults Children","French","Covered by basic insurance To be paid by yourself",1630
"856","Talhofpraxis Talhof 1 8330 Pfäffikon ZH Switzerland","Two to four weeks","Adults Families Senior management","German Swiss German English","To be paid by yourself",8330
"857","Zentrum für systemische Therapie und Beratung ZSB Villettemattstrasse 15 3007 Bern Switzerland","At least four weeks","Older adults Adults Young adults","German French","Covered by basic insurance",3007
"858","Léopold Robert 100 2300 La chaux de fonds Switzerland","No date currently available","Adults","French English","Covered by basic insurance",2300
"859","Cabinet médical de Givimed Route André Piller 16 1762 Givisiez Switzerland","At least four weeks","Families Teenagers Adults Children","French","Covered by basic insurance",1762
"860","Cabinet de psychothérapie Chemin de Plannaz 11 1196 Gland Switzerland","At least four weeks","Adults Young adults Families Teenagers Children Teams Senior management","French","Covered by basic insurance To be paid by yourself",1196
"861","Rue de Genève 28 1225 Chêne-Bourg Switzerland","Less than two weeks","Older adults Adults Young adults Couples Families Teenagers Children Teams","French English Greek","Covered by basic insurance To be paid by yourself",1225
"862","Laurent Thevenin Av. de la Gare 36 1003 Lausanne Switzerland Av. de la Gare 36 1003 Lausanne Switzerland","At least four weeks","Adults Senior management","French English","Covered by basic insurance",1003
"863","Gabriela Theis- Fassbender Seeweg 1 5707 Seengen Switzerland Gabriela Theis- Fassbender Oberdorfstr. 22 8820 Wädenswil Switzerland","No date currently available","Couples Adults Teenagers Senior management","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",5707
"864","Sonneggstrasse 82 8006 Zürich Switzerland","At least four weeks","Older adults Adults Young adults","German Swiss German","Covered by basic insurance",8006
"865","Anne-France Tille Avenue du Théâtre 7 1005 Lausanne Switzerland","At least four weeks","Adults Young adults Teenagers",NA,"Covered by basic insurance",1005
"866","Cabinet de psychothérapie Grand Rue 34 1814 La Tour-de-Peilz Switzerland","No date currently available","Older adults Adults Young adults","French English","Covered by basic insurance",1814
"867","Psychotherapeutische Praxis für Erwachsene und Jugendliche im Zentrum von Uster Gerichtsstrasse 1 8610 Uster Switzerland","At least four weeks","Older adults Adults Young adults Couples Families Teenagers Senior management","German Swiss German","Partially covered by supplementary insurance To be paid by yourself",8610
"868","c/o Amphipsy (uniquement supervision) chemin des Croix Rouges 14 1007 Lausanne Switzerland","At least four weeks","Teams","French","To be paid by yourself",1007
"869","Praxis Hutgasse Hutgasse 4 4001 Basel Switzerland","At least four weeks","Adults Young adults Families Older adults","German Swiss German French English","Covered by basic insurance",4001
"870","Dario Tollis Ernst-Schüler-Strasse 31 2502 Biel/Bienne Switzerland","Less than two weeks","Older adults Adults Young adults Couples Teenagers Children Senior management","German French Italian English","Covered by basic insurance",2502
